# All infantry equipment

equipments = {
#INFANTRY
	infantry_equipment = {
		year = 1944
	
		is_archetype = yes
		picture = archetype_infantry_equipment		
		is_buildable = no
		type = infantry
		group_by = archetype
		
		interface_category = interface_category_land
		
		active = yes
		
		#Misc Abilities
		reliability = 0.9
		maximum_speed = 4

		#Defensive Abilities
		defense = 26
		breakthrough = 3
		hardness = 0
		armor_value = 0

		#Offensive Abilities
		soft_attack = 8
		hard_attack = 1.25
		ap_attack = 3.5
		air_attack = 0

		#Space taken in convoy
		lend_lease_cost = 1
		
		build_cost_ic = 0.55
		resources = {
			steel = 2
		}
		
	}

	infantry_equipment_0 = {
		year = 1942
	
		archetype = infantry_equipment
		active = yes
		priority = 05
		visual_level = 0
	}
	
	infantry_equipment_1 = {
		year = 1944
	
		archetype = infantry_equipment
		parent = infantry_equipment_0
		priority = 10
		visual_level = 1
		
		#Misc Abilities
		reliability = 0.85

		#Defensive Abilities
		defense = 30
		breakthrough = 5

		#Offensive Abilities
		soft_attack = 13
		hard_attack = 1.65
		ap_attack = 4.7
		air_attack = 0

		build_cost_ic = 0.62
	}
	
	infantry_equipment_2 = {
		year = 1954
	
		archetype = infantry_equipment
		parent = infantry_equipment_1
		priority = 10
		visual_level = 2

		#Misc Abilities
		reliability = 0.85	

		#Defensive Abilities
		defense = 32
		breakthrough = 5.5

		#Offensive Abilities
		soft_attack = 16
		hard_attack = 1.85
		ap_attack = 5.8
		air_attack = 0
		
		build_cost_ic = 0.68
		resources = {
			steel = 3
		}
		
	}
	
	infantry_equipment_3 = {
		year = 1958
	
		archetype = infantry_equipment
		parent = infantry_equipment_2
		priority = 10
		visual_level = 3
		
		#Misc Abilities
		reliability = 0.85
		
		#Defensive Abilities
		defense = 34
		breakthrough = 6

		#Offensive Abilities
		soft_attack = 18
		hard_attack = 1.95
		ap_attack = 6.7
		air_attack = 0
		
		build_cost_ic = 0.73
		resources = {
			steel = 4
		}
	}
	
	infantry_equipment_4 = {
		year = 1962
	
		archetype = infantry_equipment
		parent = infantry_equipment_3
		priority = 10
		visual_level = 4
		
		#Misc Abilities
		reliability = 0.78
		
		#Defensive Abilities
		defense = 43
		breakthrough = 6.8

		#Offensive Abilities
		soft_attack = 22
		hard_attack = 2.2
		ap_attack = 7.3
		air_attack = 0
		
		build_cost_ic = 0.81
		resources = {
			steel = 5
		}
	}
	
#ANTITANK

	infantry_antitank = {
		year = 1943
	
		is_archetype = yes
		picture = archetype_infantry_equipment		
		is_buildable = no
		type = infantry
		group_by = archetype
		
		interface_category = interface_category_land
		
		active = yes
		
		#Misc Abilities
		reliability = 0.85
		maximum_speed = 4

		#Defensive Abilities
		defense = 6
		breakthrough = 3
		hardness = 0
		armor_value = 0

		#Offensive Abilities
		soft_attack = 1
		hard_attack = 2.5
		ap_attack = 8
		air_attack = 0

		#Space taken in convoy
		lend_lease_cost = 1
		
		build_cost_ic = 0.61
		resources = {
			steel = 2
		}
		
	}

	infantry_antitank_0 = {
		year = 1942
	
		archetype = infantry_antitank
		active = yes
		priority = 05
		visual_level = 0
	}
	
	infantry_antitank_1 = {
		year = 1944
	
		archetype = infantry_antitank
		parent = infantry_antitank_0
		priority = 10
		visual_level = 1

		#Misc Abilities
		reliability = 0.75

		#Defensive Abilities
		defense = 3
		breakthrough = 2

		#Offensive Abilities
		soft_attack = 2
		hard_attack = 3
		ap_attack = 10
		air_attack = 0

		build_cost_ic = 0.55
	}
	
	infantry_antitank_2 = {
		year = 1950
	
		archetype = infantry_antitank
		parent = infantry_antitank_1
		priority = 10
		visual_level = 2

		#Misc Abilities
		reliability = 0.78

		#Defensive Abilities
		defense = 9
		breakthrough = 6.5

		#Offensive Abilities
		soft_attack = 3
		hard_attack = 4
		ap_attack = 13
		air_attack = 0.5
		
		build_cost_ic = 0.7
		resources = {
			steel = 3
		}
		
	}
	
	infantry_antitank_3 = {
		year = 1956
	
		archetype = infantry_antitank
		parent = infantry_antitank_2
		priority = 10
		visual_level = 3

		#Misc Abilities
		reliability = 0.75
	
		#Defensive Abilities
		defense = 12
		breakthrough = 7

		#Offensive Abilities
		soft_attack = 5
		hard_attack = 5.5
		ap_attack = 15
		air_attack = 0.75
		
		build_cost_ic = 0.76
		resources = {
			steel = 4
		}
	}
	
	infantry_antitank_4 = {
		year = 1960
	
		archetype = infantry_antitank
		parent = infantry_antitank_3
		priority = 10
		visual_level = 3

		#Misc Abilities
		reliability = 0.68
		maximum_speed = 3

		#Defensive Abilities
		defense = 13
		breakthrough = 9.5

		#Offensive Abilities
		soft_attack = 7
		hard_attack = 7.2
		ap_attack = 25
		air_attack = 0.1
		
		build_cost_ic = 0.94
		resources = {
			steel = 5
		}
	}
	
	infantry_antiair = {
		year = 1944
	
		is_archetype = yes
		picture = archetype_infantry_equipment		
		is_buildable = no
		type = infantry
		group_by = archetype
		
		interface_category = interface_category_land
		
		active = yes
		
		#Misc Abilities
		reliability = 0.6
		maximum_speed = 4

		#Defensive Abilities
		defense = 3
		breakthrough = 2
		hardness = 0
		armor_value = 0

		#Offensive Abilities
		soft_attack = 2
		hard_attack = 1
		ap_attack = 0
		air_attack = 15

		#Space taken in convoy
		lend_lease_cost = 1
		
		build_cost_ic = 0.6
		resources = {
			steel = 2
		}
		
	}

	basic_infantry_antiair = {
		year = 1944
	
		archetype = infantry_antiair
		active = no
		priority = 05
		visual_level = 0
	}
	
	advanced_infantry_antiair = {
		year = 1964
	
		archetype = infantry_antiair
		parent = basic_infantry_antiair
		priority = 10
		visual_level = 1

		#Misc Abilities
		reliability = 0.8
		maximum_speed = 3

		#Defensive Abilities
		defense = 3
		breakthrough = 3

		#Offensive Abilities
		soft_attack = 1
		hard_attack = 1
		ap_attack = 0
		air_attack = 30

		build_cost_ic = 0.8
	}

}
